series_id,genre,episode_number,pacing_score,cognitive_load_score,runtime_min,cliffhanger_ending,new_character_introduced,recap_provided,avg_watch_pct,viewers_start_of_episode,viewers_completed_episode,dropoff_rate,dropoff_flag
7,Drama,5,5.64,4.01,39.6,True,True,False,0.846,291782,260404,0.1075,0
7,Drama,6,6.51,4.33,34.2,False,False,False,0.706,260404,229804,0.1175,0
7,Drama,7,6.14,4.14,46.7,True,False,True,0.67,229804,214081,0.0684,0
7,Drama,8,6.58,7.23,34.7,True,False,False,0.67,214081,194798,0.0901,0
8,Crime,1,4.06,3.54,36.1,False,False,False,0.713,785473,602455,0.233,1
8,Crime,2,5.29,6.28,34.2,True,True,False,0.762,602455,429738,0.2867,1
8,Crime,3,6.45,5.79,42.4,False,False,True,0.679,429737,375032,0.1273,0
8,Crime,4,7.7,6.98,34.3,False,False,False,0.402,375032,218119,0.4184,1
8,Crime,5,4.78,7.37,33.4,False,True,False,0.906,218119,81638,0.6257,1
8,Crime,6,5.86,3.93,26.8,False,False,False,0.789,81638,73573,0.0988,0
8,Crime,7,6.39,5.43,52.3,False,False,True,0.792,73573,62467,0.1509,0
8,Crime,8,5.31,5.39,33.7,True,True,True,0.778,62467,53370,0.1456,0
9,Romance,1,6.87,5.49,31.1,True,True,False,0.765,589143,533160,0.095,0
9,Romance,2,6.65,5.77,40.7,True,True,False,0.768,533160,435726,0.1827,0
9,Romance,3,6.65,3.33,43.9,False,True,True,0.747,435726,365553,0.161,0
9,Romance,4,3.84,6.33,43.9,False,True,False,0.709,365553,124557,0.6593,1
9,Romance,5,7.19,5.87,29.9,False,False,False,0.768,124557,100884,0.1901,0
9,Romance,6,8.01,5.23,21.7,False,False,False,0.724,100884,81286,0.1943,1
9,Romance,7,5.91,5.99,56.0,True,False,True,0.649,81286,68194,0.1611,0
9,Romance,8,7.18,6.21,42.9,True,True,True,0.888,68194,54647,0.1987,1
10,SciFi,1,6.0,6.15,34.0,False,True,True,0.837,840957,755818,0.1012,0
10,SciFi,2,5.92,4.42,35.1,True,True,False,0.846,755818,690555,0.0863,0
10,SciFi,3,6.48,6.86,19.9,False,True,False,1.0,690555,516184,0.2525,1
10,SciFi,4,7.0,6.04,48.3,True,False,False,0.975,516184,435361,0.1566,0
10,SciFi,5,6.42,5.86,52.7,True,False,False,0.718,435361,350872,0.1941,0
10,SciFi,6,7.76,7.38,29.9,False,False,False,0.617,350872,271270,0.2269,1
10,SciFi,7,7.29,6.39,38.2,True,False,True,0.691,271270,252947,0.0675,0
10,SciFi,8,6.83,4.24,47.4,True,False,False,0.758,252947,227818,0.0993,0
11,Romance,1,10.0,9.1,42.5,False,True,False,0.683,567746,362729,0.3611,1
11,Romance,2,7.22,4.01,28.8,False,True,True,0.783,362729,311199,0.1421,0
11,Romance,3,7.49,4.9,46.0,False,False,True,0.936,311199,271134,0.1287,0
11,Romance,4,5.32,4.87,40.2,True,False,False,0.695,271134,136237,0.4975,1
11,Romance,5,8.03,5.3,47.7,False,False,True,0.885,136237,103179,0.2426,1
11,Romance,6,7.57,4.59,57.4,False,False,True,0.557,103179,83474,0.191,0
11,Romance,7,6.19,6.28,47.5,True,False,False,0.711,83474,65525,0.215,1
11,Romance,8,5.53,4.89,23.5,True,True,True,1.0,65525,56073,0.1442,0
12,Romance,1,4.57,4.6,42.6,False,True,False,0.836,742731,419464,0.4352,1
12,Romance,2,6.0,5.37,37.7,True,True,True,1.0,419464,248647,0.4072,1
12,Romance,3,8.61,6.77,36.6,True,False,True,0.765,248647,199046,0.1995,1
12,Romance,4,5.8,5.35,33.3,True,False,True,0.711,199045,122267,0.3857,1
12,Romance,5,7.63,3.5,40.3,False,False,True,0.926,122267,100312,0.1796,0
12,Romance,6,6.63,4.56,53.9,True,False,False,0.88,100312,74049,0.2618,1
12,Romance,7,8.73,2.67,48.0,False,False,False,0.69,74049,68755,0.0715,0
12,Romance,8,5.91,2.8,36.8,False,False,False,0.776,68755,59635,0.1326,0
13,Drama,1,7.2,4.34,26.2,True,True,False,0.813,385756,315695,0.1816,0
13,Drama,2,6.56,7.73,45.4,False,True,True,0.78,315695,190327,0.3971,1
13,Drama,3,6.83,3.05,55.1,False,True,True,0.766,190327,158896,0.1651,0
13,Drama,4,5.35,5.67,36.9,True,False,True,0.857,158896,78203,0.5078,1
13,Drama,5,4.89,4.66,35.3,True,False,True,0.736,78203,61888,0.2086,1
13,Drama,6,4.97,4.64,25.2,False,False,True,0.778,61888,54250,0.1234,0
13,Drama,7,5.76,6.94,46.4,True,True,False,0.731,54250,37887,0.3016,1
13,Drama,8,5.22,8.11,43.8,False,False,True,0.728,37887,21430,0.4344,1
14,SciFi,1,5.7,5.35,44.6,True,True,True,0.766,867814,802544,0.0752,0
14,SciFi,2,6.68,7.87,44.5,False,True,True,1.0,802544,661289,0.176,0
14,SciFi,3,6.91,5.78,56.3,True,True,False,0.889,661289,612037,0.0745,0
14,SciFi,4,6.99,5.0,43.0,False,True,True,0.845,612037,561074,0.0833,0
14,SciFi,5,6.11,6.7,33.4,True,False,False,1.0,561074,438287,0.2188,1
14,SciFi,6,6.15,6.83,43.0,True,False,True,0.927,438287,408758,0.0674,0
14,SciFi,7,8.75,5.84,36.6,True,False,False,0.859,408758,395778,0.0318,0
14,SciFi,8,3.09,7.12,47.6,False,False,False,0.745,395778,314185,0.2062,1
15,Drama,1,8.4,3.0,51.5,False,True,False,0.788,414140,387904,0.0633,0
15,Drama,2,5.93,7.18,51.5,False,True,False,0.723,387904,228647,0.4106,1
15,Drama,3,6.45,4.54,38.1,True,True,True,0.749,228647,193364,0.1543,0
15,Drama,4,6.84,7.09,51.6,False,False,True,0.837,193364,137066,0.2911,1
15,Drama,5,9.47,8.56,26.4,False,True,False,0.828,137066,90596,0.339,1
15,Drama,6,7.23,6.68,41.4,False,True,False,0.676,90596,59533,0.3429,1
15,Drama,7,6.13,3.9,45.0,False,False,False,0.797,59533,50219,0.1564,0
15,Drama,8,8.14,5.24,50.4,True,True,False,0.927,50219,44820,0.1075,0
16,Thriller,1,6.63,3.88,50.2,True,True,True,0.843,296178,257372,0.131,0
16,Thriller,2,5.83,9.14,45.0,True,False,True,0.754,257372,161774,0.3714,1
16,Thriller,3,6.6,5.59,39.7,True,True,False,0.845,161773,135772,0.1607,0
16,Thriller,4,5.36,5.11,44.2,True,True,False,0.495,135772,93527,0.3111,1
16,Thriller,5,9.05,3.6,47.2,False,True,False,0.733,93527,72755,0.2221,1
16,Thriller,6,9.31,5.85,43.0,True,False,False,0.9,72755,65740,0.0964,0
16,Thriller,7,9.29,1.93,39.6,True,False,True,0.768,65740,64560,0.0179,0
16,Thriller,8,6.69,9.89,51.2,False,False,False,0.921,64560,38381,0.4055,1
17,SciFi,1,5.9,3.49,29.6,True,True,True,0.724,857326,785747,0.0835,0
17,SciFi,2,9.49,7.61,32.8,False,False,True,0.686,785747,702453,0.106,0
17,SciFi,3,3.94,8.15,22.8,False,False,True,0.82,702453,485924,0.3082,1
17,SciFi,4,6.16,7.55,24.9,False,False,True,0.766,485924,379871,0.2182,1
17,SciFi,5,5.47,6.93,44.8,True,False,False,0.565,379871,249919,0.3421,1
17,SciFi,6,10.0,6.91,43.8,False,False,True,0.734,249919,221685,0.113,0
17,SciFi,7,5.86,4.71,32.4,False,False,True,0.925,221685,198121,0.1063,0
17,SciFi,8,7.31,6.14,42.5,False,False,True,0.67,198121,160478,0.19,0
18,Comedy,1,5.72,4.28,43.3,False,False,False,0.527,570475,479492,0.1595,0
18,Comedy,2,3.29,5.43,50.5,False,False,False,1.0,479492,315086,0.3429,1
18,Comedy,3,6.51,7.4,61.6,False,True,True,0.874,315086,223717,0.29,1
18,Comedy,4,4.81,5.59,34.4,True,False,False,0.638,223717,156053,0.3025,1
18,Comedy,5,6.24,6.29,50.4,True,False,False,0.629,156053,99364,0.3633,1
18,Comedy,6,6.57,3.67,39.0,True,False,True,0.77,99364,95433,0.0396,0
18,Comedy,7,4.66,8.41,24.5,True,False,False,0.703,95433,63369,0.336,1
18,Comedy,8,6.49,5.35,27.0,False,True,False,0.827,63369,47490,0.2506,1
19,Comedy,1,8.38,7.55,53.1,True,True,False,0.636,770195,532870,0.3081,1
19,Comedy,2,5.65,4.84,28.1,True,True,False,0.919,532870,434804,0.184,0
19,Comedy,3,6.2,4.0,45.2,False,True,True,1.0,434804,361923,0.1676,0
19,Comedy,4,4.1,3.95,30.3,True,False,False,0.558,361923,237841,0.3428,1
19,Comedy,5,8.52,4.85,36.6,True,False,False,0.882,237841,187115,0.2133,1
19,Comedy,6,8.4,7.95,47.3,False,True,False,0.754,187115,104401,0.442,1
19,Comedy,7,5.92,3.83,53.6,False,False,False,0.928,104401,83462,0.2006,1
19,Comedy,8,2.57,4.28,38.3,True,True,False,0.742,83462,63016,0.245,1
20,Romance,1,4.53,5.93,45.4,False,True,False,0.689,361978,277828,0.2325,1
20,Romance,2,7.73,4.36,44.6,False,False,True,0.966,277828,266340,0.0413,0
20,Romance,3,6.3,6.8,49.2,True,False,False,0.735,266340,230595,0.1342,0
20,Romance,4,7.43,8.02,45.3,False,False,False,0.562,230595,184883,0.1982,1
20,Romance,5,4.2,8.36,35.2,True,False,False,0.86,184883,129242,0.3009,1
20,Romance,6,6.18,5.65,43.4,False,False,True,0.596,129242,115401,0.1071,0
20,Romance,7,5.05,5.84,48.7,True,False,True,0.933,115401,107579,0.0678,0
20,Romance,8,7.5,5.83,21.3,True,False,True,0.834,107579,102832,0.0441,0
21,Crime,1,6.55,5.1,29.0,True,True,True,0.952,588619,540730,0.0814,0
21,Crime,2,4.92,7.91,32.1,False,True,False,0.85,540730,354701,0.344,1
21,Crime,3,5.28,3.18,42.5,True,False,False,0.741,354701,342234,0.0351,0
21,Crime,4,4.34,2.56,43.5,True,False,False,0.658,342234,289519,0.154,0
21,Crime,5,6.15,4.91,55.7,True,False,True,0.78,289519,250369,0.1352,0
21,Crime,6,4.31,3.73,46.3,False,True,True,0.869,250369,232382,0.0718,0
21,Crime,7,6.0,6.25,37.4,False,False,True,0.99,232382,219430,0.0557,0
21,Crime,8,10.0,3.47,49.7,True,False,False,0.661,219430,211480,0.0362,0
22,Comedy,1,10.0,6.77,56.5,False,False,False,0.987,483058,395002,0.1823,0
22,Comedy,2,4.58,5.18,24.4,True,False,False,0.78,395002,312549,0.2087,1
22,Comedy,3,9.59,7.84,41.6,True,True,True,0.909,312549,273388,0.1253,0
22,Comedy,4,6.05,3.12,42.9,False,False,False,0.632,273388,220330,0.1941,0
22,Comedy,5,4.52,8.12,60.9,True,False,False,0.936,220330,77634,0.6476,1
22,Comedy,6,5.97,6.94,44.3,True,False,True,0.751,77634,66065,0.149,0
22,Comedy,7,5.79,2.94,40.8,False,False,False,0.63,66065,57236,0.1336,0
22,Comedy,8,4.99,6.84,55.7,False,True,False,0.618,57236,19442,0.6603,1
23,Comedy,1,9.02,3.64,43.4,True,True,False,0.718,866976,664287,0.2338,1
23,Comedy,2,6.86,7.66,42.6,False,False,False,0.57,664287,341457,0.486,1
23,Comedy,3,8.63,3.8,46.2,False,False,False,0.738,341457,269573,0.2105,1
23,Comedy,4,7.71,6.67,37.4,True,False,False,0.863,269573,82382,0.6944,1
23,Comedy,5,7.85,5.44,40.6,False,False,False,0.631,82382,47641,0.4217,1
23,Comedy,6,5.87,4.73,47.9,True,False,False,0.997,47641,30710,0.3554,1
23,Comedy,7,9.36,6.93,53.9,False,True,True,0.653,30709,14181,0.5382,1
23,Comedy,8,9.22,6.26,48.1,True,False,True,0.693,14181,11353,0.1994,1
24,Drama,1,6.74,6.33,30.4,False,False,True,0.756,439889,348489,0.2078,1
24,Drama,2,7.4,6.26,28.2,False,False,False,0.922,348489,268510,0.2295,1
24,Drama,3,6.32,8.03,32.3,False,False,True,0.748,268510,177791,0.3379,1
24,Drama,4,5.77,8.36,34.5,False,False,False,0.727,177791,114618,0.3553,1
24,Drama,5,6.49,3.53,38.3,True,False,True,0.918,114618,98545,0.1402,0
24,Drama,6,9.04,6.1,34.7,False,False,True,0.8,98545,85070,0.1367,0
24,Drama,7,6.31,4.43,57.9,True,False,True,0.741,85070,70185,0.175,0
24,Drama,8,7.56,5.25,36.5,True,False,False,0.899,70185,62440,0.1103,0
25,Romance,1,6.53,9.44,47.5,False,False,True,0.694,664941,474268,0.2868,1
25,Romance,2,6.23,1.86,40.6,True,False,False,0.756,474268,455912,0.0387,0
25,Romance,3,6.67,3.4,47.2,True,True,False,0.715,455911,426015,0.0656,0
25,Romance,4,8.27,4.79,39.6,False,False,False,0.638,426015,384568,0.0973,0
25,Romance,5,4.72,3.92,35.1,True,False,False,0.789,384567,341688,0.1115,0
25,Romance,6,6.71,8.52,44.6,True,True,False,0.687,341688,247202,0.2765,1
25,Romance,7,7.91,3.99,40.3,True,True,False,0.674,247202,234535,0.0512,0
25,Romance,8,5.66,9.42,38.7,False,False,False,0.879,234534,153219,0.3467,1
26,Crime,1,8.82,6.0,46.8,False,True,True,0.771,501972,482884,0.038,0
26,Crime,2,7.91,4.8,38.5,False,True,False,0.647,482884,452407,0.0631,0
26,Crime,3,6.97,5.76,39.0,False,False,True,0.942,452407,430694,0.048,0
26,Crime,4,8.94,7.02,38.4,False,False,False,0.585,430694,371398,0.1377,0
26,Crime,5,5.98,4.57,42.8,True,False,True,0.661,371398,342464,0.0779,0
26,Crime,6,4.65,3.03,34.0,False,False,False,0.681,342464,322703,0.0577,0
26,Crime,7,5.03,6.31,25.7,False,True,True,0.841,322703,261308,0.1903,0
26,Crime,8,7.05,7.39,43.1,False,True,False,0.973,261308,215494,0.1753,0
27,Romance,1,7.74,3.14,47.2,False,True,False,0.788,821260,656232,0.2009,1
27,Romance,2,5.28,5.66,23.0,True,False,False,0.579,656232,464193,0.2926,1
27,Romance,3,6.12,6.95,34.6,False,False,True,0.715,464192,331064,0.2868,1
27,Romance,4,4.86,7.64,55.8,False,False,False,0.873,331064,98417,0.7027,1
27,Romance,5,8.35,3.94,40.7,True,False,True,0.659,98417,73036,0.2579,1
27,Romance,6,6.62,4.35,48.4,True,False,False,0.845,73036,56281,0.2294,1
27,Romance,7,5.71,4.11,50.1,True,False,True,0.709,56281,46891,0.1668,0
27,Romance,8,6.68,7.57,47.7,False,False,True,0.855,46891,27572,0.412,1
28,SciFi,1,7.99,3.58,24.7,False,False,False,0.632,854984,794794,0.0704,0
28,SciFi,2,4.65,4.85,45.0,True,True,False,0.672,794794,524189,0.3405,1
28,SciFi,3,6.38,2.73,56.8,True,False,False,0.969,524189,480261,0.0838,0
28,SciFi,4,8.11,4.16,51.0,False,False,False,0.778,480261,370586,0.2284,1
28,SciFi,5,10.0,6.15,35.5,False,True,False,0.885,370586,287070,0.2254,1
28,SciFi,6,5.5,5.82,42.1,False,False,False,0.748,287070,208689,0.273,1
28,SciFi,7,6.06,6.05,32.2,False,False,False,0.636,208689,165488,0.207,1
28,SciFi,8,7.08,3.77,42.5,True,False,True,0.764,165488,155508,0.0603,0
29,SciFi,1,6.52,7.65,48.8,True,False,False,0.828,375485,284850,0.2414,1
29,SciFi,2,8.08,4.58,55.9,False,True,False,0.918,284850,244238,0.1426,0
29,SciFi,3,6.11,9.16,39.5,False,False,False,1.0,244238,151174,0.381,1
29,SciFi,4,8.0,3.7,44.8,False,False,False,0.812,151174,127445,0.157,0
29,SciFi,5,4.87,5.46,39.9,False,False,True,0.687,127445,100064,0.2148,1
29,SciFi,6,8.87,5.98,50.1,True,False,False,0.771,100063,89935,0.1012,0
29,SciFi,7,6.36,5.5,50.9,False,False,False,0.841,89935,76541,0.1489,0
29,SciFi,8,5.7,5.41,37.5,False,False,False,0.959,76541,60867,0.2048,1
30,Crime,1,7.02,5.34,44.4,False,False,False,1.0,687974,601566,0.1256,0
30,Crime,2,7.61,3.7,56.5,True,True,True,0.951,601566,565823,0.0594,0
30,Crime,3,5.95,2.99,43.1,False,False,False,0.754,565823,508471,0.1014,0
30,Crime,4,7.35,8.23,26.6,False,False,True,0.626,508471,328517,0.3539,1
30,Crime,5,4.84,6.75,42.8,False,True,True,0.554,328517,139574,0.5751,1
30,Crime,6,6.96,5.22,49.9,False,True,True,0.986,139574,103223,0.2604,1
30,Crime,7,5.32,3.37,36.9,False,False,False,0.646,103223,91923,0.1095,0
30,Crime,8,7.97,4.27,41.4,False,True,False,0.805,91923,81375,0.1147,0
31,Drama,1,6.51,6.78,45.8,False,True,True,0.789,750823,630420,0.1604,0
31,Drama,2,6.9,5.77,63.6,True,False,True,0.813,630420,582733,0.0756,0
31,Drama,3,5.11,4.84,44.7,True,False,False,0.735,582733,513120,0.1195,0
31,Drama,4,4.29,4.09,47.2,False,True,False,0.695,513120,321954,0.3726,1
31,Drama,5,4.71,7.86,50.8,True,False,True,0.857,321954,161229,0.4992,1
31,Drama,6,6.97,7.75,37.1,False,False,False,0.617,161229,109329,0.3219,1
31,Drama,7,8.62,3.43,31.2,True,False,True,0.897,109328,105853,0.0318,0
31,Drama,8,5.74,9.3,43.1,True,False,False,0.709,105853,67757,0.3599,1
32,Crime,1,9.17,7.05,48.4,False,True,False,0.798,892331,516397,0.4213,1
32,Crime,2,4.98,5.04,31.0,False,True,False,0.72,516396,348765,0.3246,1
32,Crime,3,5.93,4.17,32.5,False,False,False,0.803,348765,297175,0.1479,0
32,Crime,4,4.88,3.01,57.0,False,False,False,0.696,297175,226423,0.2381,1
32,Crime,5,8.17,8.61,34.5,False,False,True,0.98,226422,154067,0.3196,1
32,Crime,6,7.37,3.25,58.8,False,False,False,0.783,154067,117058,0.2402,1
32,Crime,7,5.96,5.48,46.7,True,False,False,0.862,117058,95859,0.1811,0
32,Crime,8,6.62,5.55,34.7,False,False,True,0.915,95859,79966,0.1658,0
33,Crime,1,7.69,6.02,49.9,True,False,False,0.828,620482,562001,0.0942,0
33,Crime,2,7.72,5.78,38.7,False,True,False,0.805,562001,478542,0.1485,0
33,Crime,3,8.21,9.98,37.9,False,False,False,0.877,478542,247375,0.4831,1
33,Crime,4,4.92,8.33,34.5,True,False,False,0.627,247375,135180,0.4535,1
33,Crime,5,5.76,5.41,51.2,False,False,True,0.807,135180,87949,0.3494,1
33,Crime,6,8.93,6.38,48.9,True,False,True,0.954,87949,80030,0.09,0
33,Crime,7,6.05,3.75,27.1,True,False,False,0.623,80030,66492,0.1692,0
33,Crime,8,6.94,5.05,36.3,True,False,False,0.801,66492,58561,0.1193,0
34,SciFi,1,5.07,5.79,56.9,False,False,False,0.63,818453,560940,0.3146,1
34,SciFi,2,7.66,4.12,42.5,False,True,False,0.718,560940,435079,0.2244,1
34,SciFi,3,5.21,7.07,33.8,False,False,False,0.857,435079,146917,0.6623,1
34,SciFi,4,4.91,7.21,44.0,False,False,False,0.657,146917,30795,0.7904,1
34,SciFi,5,3.45,6.19,44.7,True,False,True,0.758,30795,14043,0.544,1
34,SciFi,6,7.61,1.84,53.8,False,False,False,0.631,14043,12253,0.1274,0
34,SciFi,7,5.2,4.44,49.7,True,False,False,0.781,12253,9132,0.2546,1
34,SciFi,8,5.37,4.2,57.1,True,False,True,0.944,9132,6199,0.3211,1
35,Comedy,1,8.2,3.86,53.6,False,True,False,0.89,272443,201338,0.261,1
35,Comedy,2,4.82,7.63,39.0,True,False,True,0.682,201338,157042,0.22,1
35,Comedy,3,4.99,8.11,57.7,True,True,False,0.791,157042,72172,0.5404,1
35,Comedy,4,4.77,3.72,42.8,True,False,True,0.708,72172,50730,0.2971,1
35,Comedy,5,6.49,4.96,43.0,False,False,True,0.83,50730,34389,0.3221,1
35,Comedy,6,8.56,2.45,38.9,True,False,True,0.738,34389,32302,0.0607,0
35,Comedy,7,6.78,3.4,52.7,False,False,False,0.712,32302,24881,0.2297,1
35,Comedy,8,6.15,4.05,39.0,True,False,True,0.804,24881,22547,0.0938,0
36,Romance,1,3.47,5.94,51.0,False,True,True,0.784,703399,216152,0.6927,1
36,Romance,2,5.57,3.84,51.5,True,False,True,0.809,216152,147533,0.3175,1
36,Romance,3,7.24,6.99,43.9,False,False,True,0.766,147533,73560,0.5014,1
36,Romance,4,8.84,7.46,46.3,False,False,True,0.806,73560,29937,0.593,1
36,Romance,5,4.24,3.1,45.3,True,False,False,0.567,29937,13869,0.5367,1
36,Romance,6,4.17,7.12,51.2,False,False,False,0.695,13869,7014,0.4942,1
36,Romance,7,5.55,5.18,49.7,False,False,True,0.879,7014,2695,0.6157,1
36,Romance,8,4.8,4.68,30.9,False,False,False,0.89,2695,1597,0.4071,1
37,Comedy,1,6.2,6.44,38.8,True,True,False,0.787,293257,225667,0.2305,1
37,Comedy,2,7.8,5.01,44.4,False,True,False,0.673,225667,168968,0.2512,1
37,Comedy,3,7.17,2.52,34.4,False,False,True,0.889,168968,158828,0.06,0
37,Comedy,4,7.12,4.73,44.4,False,False,False,0.745,158828,122392,0.2294,1
37,Comedy,5,4.76,5.8,44.8,True,False,False,0.648,122392,71210,0.4182,1
37,Comedy,6,10.0,4.96,44.7,False,False,False,0.715,71210,59891,0.1589,0
37,Comedy,7,6.09,4.1,40.3,False,False,True,0.794,59891,54658,0.0874,0
37,Comedy,8,6.14,6.9,57.8,False,False,True,0.922,54658,32977,0.3967,1
38,Drama,1,6.91,5.82,44.4,False,False,False,0.719,496266,457574,0.078,0
38,Drama,2,6.61,5.51,28.6,False,True,True,1.0,457574,367323,0.1972,1
38,Drama,3,4.57,7.37,45.5,False,True,False,0.729,367323,253244,0.3106,1
38,Drama,4,5.29,5.32,30.4,False,False,False,0.732,253243,193130,0.2374,1
38,Drama,5,7.11,2.1,35.7,False,False,False,0.852,193130,178266,0.077,0
38,Drama,6,6.53,5.52,47.7,False,False,False,0.935,178266,150622,0.1551,0
38,Drama,7,6.75,5.58,46.2,False,False,True,0.905,150622,134135,0.1095,0
38,Drama,8,8.5,5.45,25.4,False,False,False,0.776,134135,126063,0.0602,0
39,Romance,1,7.37,4.78,57.3,False,False,False,0.758,749796,657196,0.1235,0
39,Romance,2,3.07,6.27,55.4,False,False,True,1.0,657196,441132,0.3288,1
39,Romance,3,6.2,7.49,46.2,False,False,False,0.585,441132,230917,0.4765,1
39,Romance,4,5.94,4.4,44.7,False,True,True,0.678,230917,171379,0.2578,1
39,Romance,5,8.3,4.65,45.9,True,True,False,0.627,171379,132238,0.2284,1
39,Romance,6,7.23,5.53,31.3,False,False,True,0.786,132238,121075,0.0844,0
39,Romance,7,7.98,6.8,37.3,True,False,False,0.815,121075,109330,0.097,0
39,Romance,8,5.79,5.21,54.2,True,False,False,0.795,109330,91204,0.1658,0
40,Drama,1,10.0,5.94,32.4,False,False,True,0.441,205283,184450,0.1015,0
40,Drama,2,7.81,6.94,49.8,True,True,True,0.711,184450,161087,0.1267,0
40,Drama,3,8.19,6.2,31.3,True,True,False,0.852,161087,145835,0.0947,0
40,Drama,4,3.99,3.5,56.2,True,False,False,0.817,145835,126157,0.1349,0
40,Drama,5,5.99,5.75,48.4,True,False,False,0.873,126157,97385,0.2281,1
40,Drama,6,5.53,6.23,42.9,False,False,True,0.781,97385,85280,0.1243,0
40,Drama,7,6.85,5.56,38.7,False,False,False,0.852,85280,72934,0.1448,0
